player,country,american_odds,implied_raw,p_gb
Mohamed Salah,Egypt,8000,0.0123,0.00579
Goncalo Ramos,Portugal,8000,0.0123,0.00579
Sadio Mane,Senegal,8000,0.0123,0.00579
Christian Pulisic,United States,8000,0.0123,0.00579
Rafael Leao,Portugal,8000,0.0123,0.00579
Bradley Barcola,France,8000,0.0123,0.00579
Noa Lang,Netherlands,10000,0.0099,0.00464
Pedri,Spain,10000,0.0099,0.00464
Oscar Bobb,Norway,10000,0.0099,0.00464
Orbelin Pineda,Mexico,10000,0.0099,0.00464
Omar Marmoush,Egypt,10000,0.0099,0.00464
Mikel Merino,Spain,10000,0.0099,0.00464
Nicolas Jackson,Senegal,10000,0.0099,0.00464
Nico Williams,Spain,10000,0.0099,0.00464
Jorgen Strand Larsen,Norway,10000,0.0099,0.00464
Kang-In Lee,South Korea,10000,0.0099,0.00464
Leandro Trossard,Belgium,10000,0.0099,0.00464
Raul Jimenez,Mexico,10000,0.0099,0.00464
Antoine Semenyo,Ghana,10000,0.0099,0.00464
Ricardo Pepi,United States,10000,0.0099,0.00464
Riyad Mahrez,Algeria,10000,0.0099,0.00464
Takefusa Kubo,Japan,10000,0.0099,0.00464
Brahim Diaz,Morocco,10000,0.0099,0.00464
Brian Rodriguez,Uruguay,10000,0.0099,0.00464
Patrik Schick,Czech Republic,10000,0.0099,0.00464
Amad Diallo,Ivory Coast,10000,0.0099,0.00464
Federico Vinas,Uruguay,10000,0.0099,0.00464
Giorgian de Arrascaeta,Uruguay,10000,0.0099,0.00464
Edin Dzeko,Bosnia and Herzegovina,10000,0.0099,0.00464
Kendry Paez,Ecuador,10000,0.0099,0.00464
Kenan Yildiz,Turkey,10000,0.0099,0.00464
Breel Embolo,Switzerland,10000,0.0099,0.00464
Jhon Arias,Colombia,10000,0.0099,0.00464
Scott McTominay,Scotland,10000,0.0099,0.00464
Jean-Philippe Mateta,France,10000,0.0099,0.00464
Andrej Kramaric,Croatia,10000,0.0099,0.00464
Jonathan David,Canada,10000,0.0099,0.00464
Son Heung-min,South Korea,10000,0.0099,0.00464
Hirving Lozano,Mexico,10000,0.0099,0.00464
Marko Arnautovic,Austria,10000,0.0099,0.00464
Folarin Balogun,United States,10000,0.0099,0.00464
Ayase Ueda,Japan,10000,0.0099,0.00464
Youssef En-Nesyri,Morocco,10000,0.0099,0.00464
Cyle Larin,Canada,10000,0.0099,0.00464
Daizen Maeda,Japan,10000,0.0099,0.00464
Mehdi Taremi,Iran,10000,0.0099,0.00464
Federico Valverde,Uruguay,10000,0.0099,0.00464
Alphonso Davies,Canada,10000,0.0099,0.00464
Antonio Nusa,Norway,10000,0.0099,0.00464
Armando Gonzalez,Mexico,10000,0.0099,0.00464
Ayoub El Kaabi,Morocco,10000,0.0099,0.00464
Arda Guler,Turkey,10000,0.0099,0.00464
Enzo Fernandez,Argentina,10000,0.0099,0.00464
Gabriel Martinelli,Brazil,10000,0.0099,0.00464
Haji Wright,United States,10000,0.0099,0.00464
Granit Xhaka,Switzerland,10000,0.0099,0.00464
James Rodriguez,Colombia,10000,0.0099,0.00464
Kevin De Bruyne,Belgium,12500,0.0079,0.00372
Hwang Hee-chan,South Korea,15000,0.0066,0.0031
Nicolas Pepe,Ivory Coast,15000,0.0066,0.0031
Nikola Vlasic,Croatia,15000,0.0066,0.0031
Ismaila Sarr,Senegal,15000,0.0066,0.0031
Chris Wood,New Zealand,15000,0.0066,0.0031
Giovanni Reyna,United States,15000,0.0066,0.0031
Almoez Ali,Qatar,15000,0.0066,0.0031
Martin Odegaard,Norway,15000,0.0066,0.0031
Facundo Pellistri,Uruguay,15000,0.0066,0.0031
Salem Al-Dawsari,Saudi Arabia,17500,0.0057,0.00266
Musa Al-Taamari,Jordan,17500,0.0057,0.00266
Che Adams,Scotland,17500,0.0057,0.00266
Saleh Alshehri,Saudi Arabia,17500,0.0057,0.00266
Declan Rice,England,17500,0.0057,0.00266
Mohamed Toure,Ivory Coast,17500,0.0057,0.00266
Cedric Bakambu,DR Congo,17500,0.0057,0.00266
Christoph Baumgartner,Austria,17500,0.0057,0.00266
Kerim Alajbegovic,Bosnia and Herzegovina,17500,0.0057,0.00266
Daichi Kamada,Japan,25000,0.004,0.00187
Lawrence Shankland,Scotland,25000,0.004,0.00187
Lyndon Dykes,Scotland,25000,0.004,0.00187
Ryan Christie,Scotland,25000,0.004,0.00187
Julio Enciso,Paraguay,25000,0.004,0.00187
Lyle Foster,South Africa,40000,0.0025,0.00117
John McGinn,Scotland,40000,0.0025,0.00117
Martin Boyle,Scotland,40000,0.0025,0.00117
Nestory Irankunda,Australia,40000,0.0025,0.00117
Brenden Aaronson,United States,40000,0.0025,0.00117
Eldor Shomurodov,Uzbekistan,40000,0.0025,0.00117
Ryan Mendes,Cape Verde,40000,0.0025,0.00117
Ben Waine,New Zealand,50000,0.002,0.00094
